price;city;square;land_plot_surface;transport_exists_nearby;medical_service_exists_nearby;cluster
765000.0;22.0;102.0;450.0;1.0;0.0;2
1370000.0;27.0;177.0;514.0;1.0;0.0;2
825000.0;0.0;200.0;434.0;1.0;0.0;2
3000000.0;4.0;295.0;0.0;0.0;0.0;0
795000.0;27.0;138.0;322.0;1.0;0.0;2
730000.0;7.0;131.0;434.0;1.0;0.0;2
1035000.0;27.0;140.0;270.0;1.0;0.0;2
886000.0;27.0;109.0;0.0;0.0;0.0;1
1494000.0;8.0;182.0;364.0;1.0;1.0;0
449000.0;9.0;100.0;264.0;1.0;1.0;0
975000.0;0.0;131.0;500.0;1.0;1.0;0
518500.0;0.0;95.0;350.0;1.0;1.0;0
800000.0;9.0;124.0;0.0;0.0;0.0;1
1470000.0;1.0;170.0;355.0;0.0;0.0;1
939000.0;3.0;120.0;230.0;1.0;0.0;2
595000.0;30.0;77.0;0.0;1.0;1.0;0
1070000.0;27.0;154.0;62.0;1.0;0.0;2
518500.0;0.0;95.0;350.0;0.0;0.0;1
668000.0;3.0;100.0;153.0;1.0;0.0;2
378000.0;0.0;89.0;370.0;1.0;0.0;2
1270000.0;22.0;180.0;450.0;1.0;0.0;2
449000.0;11.0;110.0;50.0;1.0;1.0;0
1790000.0;11.0;347.0;450.0;1.0;0.0;2
559000.0;0.0;80.0;279.0;1.0;0.0;2
498000.0;0.0;113.0;300.0;0.0;0.0;1
1345000.0;3.0;190.0;487.0;1.0;0.0;2
1154000.0;22.0;146.0;358.0;1.0;0.0;2
2180000.0;34.0;350.0;1618.0;1.0;0.0;0
990000.0;11.0;145.0;50.0;0.0;0.0;1
789000.0;27.0;132.0;225.0;1.0;0.0;2
1150000.0;9.0;140.0;223.0;1.0;0.0;2
1040000.0;8.0;146.0;325.0;1.0;0.0;2
1395000.0;30.0;201.0;345.0;1.0;0.0;2
650000.0;9.0;85.0;130.0;1.0;0.0;2
1195000.0;9.0;162.0;350.0;1.0;1.0;0
815000.0;9.0;190.0;0.0;0.0;0.0;1
840000.0;27.0;147.0;263.0;1.0;1.0;0
525000.0;35.0;133.0;170.0;1.0;0.0;2
728000.0;2.0;135.0;128.0;0.0;0.0;1
1153600.0;22.0;138.0;358.0;1.0;1.0;0
895000.0;24.0;141.0;562.0;1.0;0.0;2
950000.0;27.0;191.0;670.0;1.0;1.0;0
799000.0;11.0;130.0;213.0;1.0;0.0;2
790000.0;11.0;95.0;116.0;1.0;0.0;2
1080000.0;9.0;235.0;357.0;1.0;1.0;0
1990000.0;28.0;263.0;732.0;1.0;0.0;0
890000.0;9.0;149.0;279.0;1.0;1.0;0
780000.0;27.0;102.0;160.0;1.0;0.0;2
697110.0;0.0;110.0;400.0;1.0;0.0;2
645000.0;0.0;137.0;160.0;1.0;0.0;2
1395000.0;28.0;125.0;309.0;1.0;0.0;2
699000.0;11.0;100.0;220.0;1.0;1.0;0
1085000.0;6.0;195.0;397.0;1.0;0.0;2
1145000.0;8.0;157.0;308.0;0.0;0.0;1
665230.0;0.0;101.0;400.0;1.0;0.0;2
1680000.0;27.0;270.0;508.0;1.0;0.0;0
1200000.0;7.0;247.0;0.0;1.0;0.0;2
1150000.0;24.0;206.0;0.0;0.0;0.0;1
912030.0;0.0;110.0;840.0;1.0;0.0;2
785000.0;8.0;96.0;350.0;1.0;0.0;2
500000.0;9.0;126.0;252.0;1.0;1.0;0
1200000.0;11.0;215.0;410.0;1.0;0.0;2
699000.0;24.0;109.0;353.0;1.0;0.0;2
