list_id;price;city;lat;lng;type;square;land_plot_surface;rooms;bedrooms;nb_bathrooms;nb_shower_room;energy_rate;ges;nb_floors;nb_parkings;annual_charges;transport_exists_nearby;school_exists_nearby;medical_service_exists_nearby;centre_of_town_exists_nearby;nb_square_meter_basement;nb_square_meter_balcony
2919728194.0;889000.0;7.0;48.77373620091187;2.283028537864548;1.0;135.0;665.0;5.0;3.0;2.0;2.0;9.0;9.0;2.0;2.0;350.0;1.0;0.0;0.0;1.0;24.04;0.0
2948965102.0;890000.0;6.0;48.802862104250906;2.2012413875721824;1.0;131.0;230.0;7.0;5.0;1.0;1.0;7.0;7.0;2.0;3.0;1535.0;1.0;1.0;0.0;0.0;40.0;0.0
2945015879.0;795000.0;24.0;48.88705518375375;2.219576068546055;1.0;138.0;180.0;6.0;4.0;1.0;2.0;9.0;9.0;3.0;1.0;3000.0;0.0;0.0;0.0;0.0;0.0;60.0
2940882999.0;470000.0;24.0;48.89347071076377;2.2058286263466407;1.0;73.0;61.0;4.0;3.0;1.0;1.0;8.0;8.0;3.0;1.0;1630.0;1.0;0.0;0.0;1.0;0.0;0.0
2837376696.0;999000.0;5.0;48.78660353692801;2.3146280636521603;1.0;230.0;314.0;6.0;4.0;2.0;2.0;8.0;8.0;3.0;1.0;3640.0;1.0;1.0;0.0;1.0;230.0;14.0
2758671531.0;690000.0;11.0;48.91330718903082;2.2504083175485574;1.0;252.0;300.0;8.0;5.0;2.0;1.0;9.0;8.0;4.0;3.0;3885.0;1.0;1.0;1.0;1.0;100.0;0.0
2952872260.0;860000.0;11.0;48.92251;2.26008;0.0;167.0;0.0;6.0;4.0;2.0;2.0;8.0;12.0;3.0;1.0;1400.0;1.0;1.0;0.0;1.0;0.0;50.0
2936293707.0;749000.0;2.0;48.79999158426316;2.301561000368415;1.0;156.0;200.0;6.0;5.0;1.0;1.0;9.0;9.0;3.0;1.0;3650.0;1.0;1.0;1.0;1.0;0.0;0.0
2935937388.0;950000.0;8.0;48.79814636486835;2.2920266254007027;1.0;200.0;465.0;6.0;5.0;2.0;1.0;8.0;8.0;3.0;2.0;1115.0;1.0;1.0;1.0;1.0;0.0;20.0
2951065334.0;775000.0;3.0;48.92171684345095;2.269917224852918;1.0;102.0;156.0;6.0;4.0;2.0;0.0;8.0;8.0;3.0;0.0;2459.8397753308172;1.0;1.0;0.0;1.0;0.0;0.0
2948907247.0;675000.0;8.0;48.81018000117973;2.2797569532090347;1.0;110.0;152.0;4.0;3.0;1.0;1.0;8.0;6.0;3.0;1.0;1700.0;1.0;1.0;0.0;0.0;0.0;0.0
2948606130.0;1295000.0;20.0;48.81948938906335;2.30956424373095;1.0;229.0;165.0;6.0;5.0;1.0;2.0;3.0;3.0;1.0;0.0;2535.0;1.0;1.0;1.0;1.0;0.0;0.0
2944696272.0;1875000.0;12.0;48.899365290429714;2.245404934668561;1.0;195.0;166.0;9.0;6.0;1.0;2.0;6.0;5.0;4.0;1.0;1385.0;1.0;0.0;0.0;1.0;50.0;0.0
2940537525.0;750000.0;32.0;48.826881814013376;2.286350058846274;1.0;92.0;0.0;4.0;3.0;1.0;1.0;9.0;6.0;3.0;1.0;1253.0;1.0;0.0;0.0;1.0;0.0;18.0
2940474699.0;1140000.0;11.0;48.91905703245513;2.2412574331221813;1.0;159.0;212.0;7.0;4.0;1.0;2.0;10.0;9.0;3.0;1.0;2896.957764031409;0.0;0.0;0.0;0.0;0.0;0.0
2934624058.0;850000.0;8.0;48.809072495009175;2.283222308544957;1.0;160.0;166.0;6.0;4.0;2.0;2.0;9.0;6.0;3.0;2.0;2430.0;1.0;1.0;1.0;1.0;50.0;20.0
2931792599.0;940000.0;27.0;48.87054856702749;2.1863254766258624;1.0;128.0;41.0;5.0;4.0;1.0;2.0;7.0;7.0;2.0;2.0;660.0;1.0;1.0;1.0;1.0;0.0;0.0
2931178924.0;1140000.0;27.0;48.887842689307945;2.174284959976315;1.0;145.0;271.0;6.0;4.0;1.0;2.0;9.0;9.0;2.0;4.0;3800.0;1.0;0.0;0.0;1.0;0.0;0.0
2918728259.0;1345000.0;1.0;48.90943150827845;2.269060673640551;1.0;200.0;250.0;6.0;4.0;2.0;0.0;8.0;8.0;3.0;1.0;1500.0;1.0;1.0;1.0;1.0;30.0;0.0
2859885987.0;990000.0;27.0;48.88021124402454;2.195280261489502;1.0;141.0;363.0;8.0;5.0;2.0;1.0;7.0;5.0;2.0;2.0;1715.0;1.0;1.0;0.0;1.0;70.0;0.0
2857387515.0;945000.0;30.0;48.87415653877121;2.220844644601636;1.0;161.0;187.0;6.0;5.0;2.0;2.0;8.0;8.0;1.0;1.0;2355.0;1.0;1.0;0.0;1.0;0.0;0.0
2955026497.0;1139000.0;27.0;48.87509285887341;2.1785153139451414;1.0;130.0;116.0;5.0;3.0;1.0;2.0;6.0;6.0;2.0;2.0;905.0;1.0;1.0;0.0;1.0;0.0;0.0
2935086853.0;950000.0;22.0;48.79992997479132;2.237273988883992;1.0;151.0;200.0;5.0;4.0;2.0;2.0;9.0;9.0;3.0;1.0;3375.0;1.0;1.0;1.0;1.0;35.0;0.0
2905282274.0;998000.0;8.0;48.801951157788736;2.2885626422758705;1.0;215.0;258.0;5.0;3.0;1.0;1.0;8.0;6.0;3.0;1.0;2800.0;1.0;0.0;0.0;1.0;16.0;17.0
2659804140.0;880000.0;27.0;48.87107174484669;2.1746560109866024;1.0;131.0;525.0;5.0;3.0;1.0;1.0;6.0;5.0;2.0;3.0;814.5;1.0;1.0;1.0;1.0;0.0;0.0
2948186072.0;799000.0;2.0;48.79824518313504;2.309735956253665;1.0;185.0;40.0;6.0;4.0;1.0;1.0;7.0;7.0;3.0;1.0;1850.0;1.0;0.0;0.0;1.0;0.0;0.0
2939995425.0;795000.0;0.0;48.73446659583685;2.282395983602659;1.0;160.0;293.0;7.0;4.0;2.0;2.0;6.0;5.0;3.0;2.0;785.0;0.0;0.0;0.0;0.0;66.51;20.07
2939149997.0;600000.0;11.0;48.91596320394846;2.2304045155138845;1.0;121.0;179.0;5.0;3.0;1.0;1.0;10.0;10.0;1.0;1.0;3415.0;1.0;1.0;0.0;1.0;0.0;0.0
2940677772.0;1290000.0;19.0;48.90267326816;2.2853433374356946;1.0;103.0;0.0;5.0;4.0;1.0;2.0;11.0;7.0;2.0;0.0;3365.0;0.0;0.0;0.0;0.0;0.0;0.0
2939435121.0;960000.0;11.0;48.913624751892975;2.246099061826886;1.0;128.0;494.0;7.0;3.0;1.0;2.0;8.0;8.0;3.0;1.0;2300.0;1.0;0.0;0.0;1.0;152.48;6.1
2888187616.0;1095000.0;31.0;48.81361276721066;2.205535231666457;1.0;151.0;353.0;7.0;4.0;2.0;1.0;9.0;9.0;3.0;4.0;2231.0;1.0;1.0;0.0;1.0;0.0;0.0
2942976790.0;564000.0;8.0;48.80236753151912;2.2923176352547325;1.0;118.0;0.0;4.0;3.0;2.0;2.0;9.0;7.0;2.0;0.0;30.0;1.0;0.0;0.0;1.0;0.0;0.0
2829353334.0;1495000.0;26.0;48.88461895066701;2.2253404194859745;1.0;190.0;354.0;7.0;5.0;1.0;1.0;7.0;7.0;2.0;2.0;1136.0;1.0;1.0;1.0;1.0;26.5;21.0
2961982996.0;699000.0;11.0;48.91515;2.2352;0.0;130.0;150.0;5.0;3.0;2.0;2.0;7.0;7.0;1.0;1.0;100.0;1.0;1.0;0.0;0.0;0.0;20.0
2953218429.0;595000.0;0.0;48.73630105717604;2.3172574908805315;1.0;131.0;306.0;5.0;4.0;2.0;1.0;8.0;8.0;3.0;1.0;2410.0;1.0;1.0;0.0;1.0;0.0;0.0
2951607042.0;1165000.0;1.0;48.91189986667266;2.288369203724044;1.0;110.0;193.0;6.0;3.0;1.0;1.0;8.0;6.0;1.0;0.0;2500.0;1.0;1.0;1.0;1.0;0.0;50.0
2938139486.0;790000.0;22.0;48.81058;2.25294;0.0;110.0;106.0;4.0;3.0;2.0;3.0;8.0;8.0;4.0;0.0;2474.1160053110543;1.0;1.0;0.0;0.0;41.0;0.0
2952562535.0;799000.0;27.0;48.874163231232174;2.185597596334844;1.0;145.0;190.0;6.0;4.0;1.0;2.0;8.0;7.0;2.0;1.0;2400.0;1.0;1.0;0.0;1.0;0.0;0.0
